iso_code,location,continent,year_month,hosp_patients_per_million,weekly_hosp_admissions_per_million,icu_patients_per_million,new_deaths_per_million,total_deaths_per_million,month_start
ABW,Aruba,North America,2020-01,0.0,0.0,0.0,0.0,0.0,2020-01-01
ABW,Aruba,North America,2020-02,0.0,0.0,0.0,0.0,0.0,2020-02-01
ABW,Aruba,North America,2020-03,0.0,0.0,0.0,0.0,0.0,2020-03-01
ABW,Aruba,North America,2020-04,0.0,0.0,0.0,18.55,222.60000000000002,2020-04-01
ABW,Aruba,North America,2020-05,0.0,0.0,0.0,9.28,779.2099999999999,2020-05-01
ABW,Aruba,North America,2020-06,0.0,0.0,0.0,0.0,834.9,2020-06-01
ABW,Aruba,North America,2020-07,0.0,0.0,0.0,0.0,862.7299999999999,2020-07-01
ABW,Aruba,North America,2020-08,0.0,0.0,0.0,46.38,1215.28,2020-08-01
ABW,Aruba,North America,2020-09,0.0,0.0,0.0,157.71,4675.62,2020-09-01
ABW,Aruba,North America,2020-10,0.0,0.0,0.0,102.05,8878.23,2020-10-01
ABW,Aruba,North America,2020-11,0.0,0.0,0.0,83.49,11485.09,2020-11-01
ABW,Aruba,North America,2020-12,0.0,0.0,0.0,18.56,13229.130000000001,2020-12-01
ABW,Aruba,North America,2021-01,0.0,0.0,0.0,102.03999999999999,14592.93,2021-01-01
ABW,Aruba,North America,2021-02,0.0,0.0,0.0,120.6,16810.08,2021-02-01
ABW,Aruba,North America,2021-03,0.0,0.0,0.0,102.05,22125.95,2021-03-01
ABW,Aruba,North America,2021-04,0.0,0.0,0.0,120.6,25103.95,2021-04-01
ABW,Aruba,North America,2021-05,0.0,0.0,0.0,111.32,29362.12,2021-05-01
ABW,Aruba,North America,2021-06,0.0,0.0,0.0,0.0,29779.5,2021-06-01
ABW,Aruba,North America,2021-07,0.0,0.0,0.0,18.56,30967.03,2021-07-01
ABW,Aruba,North America,2021-08,0.0,0.0,0.0,222.64,33508.979999999996,2021-08-01
ABW,Aruba,North America,2021-09,0.0,0.0,0.0,250.48,42099.65,2021-09-01
ABW,Aruba,North America,2021-10,0.0,0.0,0.0,102.05,48454.38,2021-10-01
ABW,Aruba,North America,2021-11,0.0,0.0,0.0,27.839999999999996,47870.0,2021-11-01
ABW,Aruba,North America,2021-12,0.0,0.0,0.0,64.93,50820.08,2021-12-01
ABW,Aruba,North America,2022-01,0.0,0.0,0.0,111.32,52861.03,2022-01-01
ABW,Aruba,North America,2022-02,0.0,0.0,0.0,166.98,51051.99,2022-02-01
ABW,Aruba,North America,2022-03,0.0,0.0,0.0,9.28,60857.89,2022-03-01
ABW,Aruba,North America,2022-04,0.0,0.0,0.0,0.0,59002.5,2022-04-01
ABW,Aruba,North America,2022-05,0.0,0.0,0.0,9.28,61062.05,2022-05-01
ABW,Aruba,North America,2022-06,0.0,0.0,0.0,74.21,60236.38,2022-06-01
ABW,Aruba,North America,2022-07,0.0,0.0,0.0,27.830000000000002,64040.0,2022-07-01
ABW,Aruba,North America,2022-08,0.0,0.0,0.0,27.83,64986.31,2022-08-01
ABW,Aruba,North America,2022-09,0.0,0.0,0.0,9.28,63362.7,2022-09-01
ABW,Aruba,North America,2022-10,0.0,0.0,0.0,37.11,66489.14,2022-10-01
ABW,Aruba,North America,2022-11,0.0,0.0,0.0,37.12,65106.83,2022-11-01
ABW,Aruba,North America,2022-12,0.0,0.0,0.0,408.19,76443.6,2022-12-01
ABW,Aruba,North America,2023-01,0.0,0.0,0.0,9.28,80683.19,2023-01-01
ABW,Aruba,North America,2023-02,0.0,0.0,0.0,9.28,73150.12,2023-02-01
ABW,Aruba,North America,2023-03,0.0,0.0,0.0,46.39,82223.26000000001,2023-03-01
ABW,Aruba,North America,2023-04,0.0,0.0,0.0,0.0,79876.2,2023-04-01
ABW,Aruba,North America,2023-05,0.0,0.0,0.0,9.28,82770.49,2023-05-01
ABW,Aruba,North America,2023-06,0.0,0.0,0.0,18.55,80655.42,2023-06-01
ABW,Aruba,North America,2023-07,0.0,0.0,0.0,18.55,83957.97,2023-07-01
ABW,Aruba,North America,2023-08,0.0,0.0,0.0,0.0,83976.52,2023-08-01
ABW,Aruba,North America,2023-09,0.0,0.0,0.0,0.0,81267.6,2023-09-01
ABW,Aruba,North America,2023-10,0.0,0.0,0.0,0.0,83976.52,2023-10-01
ABW,Aruba,North America,2023-11,0.0,0.0,0.0,0.0,81267.6,2023-11-01
ABW,Aruba,North America,2023-12,0.0,0.0,0.0,0.0,83976.52,2023-12-01
ABW,Aruba,North America,2024-01,0.0,0.0,0.0,0.0,83976.52,2024-01-01
ABW,Aruba,North America,2024-02,0.0,0.0,0.0,0.0,78558.68000000001,2024-02-01
ABW,Aruba,North America,2024-03,0.0,0.0,0.0,0.0,83976.52,2024-03-01
ABW,Aruba,North America,2024-04,0.0,0.0,0.0,0.0,81267.6,2024-04-01
ABW,Aruba,North America,2024-05,0.0,0.0,0.0,0.0,83976.52,2024-05-01
ABW,Aruba,North America,2024-06,0.0,0.0,0.0,0.0,81267.6,2024-06-01
ABW,Aruba,North America,2024-07,0.0,0.0,0.0,0.0,83976.52,2024-07-01
ABW,Aruba,North America,2024-08,0.0,0.0,0.0,0.0,10835.68,2024-08-01
AFG,Afghanistan,Asia,2020-01,0.0,0.0,0.0,0.0,0.0,2020-01-01
AFG,Afghanistan,Asia,2020-02,0.0,0.0,0.0,0.0,0.0,2020-02-01
AFG,Afghanistan,Asia,2020-03,0.0,0.0,0.0,0.05,0.15000000000000002,2020-03-01
AFG,Afghanistan,Asia,2020-04,0.0,0.0,0.0,1.01,14.11,2020-04-01
AFG,Afghanistan,Asia,2020-05,0.0,0.0,0.0,5.05,100.21000000000001,2020-05-01
AFG,Afghanistan,Asia,2020-06,0.0,0.0,0.0,11.22,317.31,2020-06-01
AFG,Afghanistan,Asia,2020-07,0.0,0.0,0.0,13.379999999999999,762.16,2020-07-01
AFG,Afghanistan,Asia,2020-08,0.0,0.0,0.0,3.84,1021.85,2020-08-01
AFG,Afghanistan,Asia,2020-09,0.0,0.0,0.0,1.25,1051.83,2020-09-01
AFG,Afghanistan,Asia,2020-10,0.0,0.0,0.0,1.43,1131.1100000000001,2020-10-01
AFG,Afghanistan,Asia,2020-11,0.0,0.0,0.0,5.9399999999999995,1185.5,2020-11-01
AFG,Afghanistan,Asia,2020-12,0.0,0.0,0.0,10.0,1495.96,2020-12-01
AFG,Afghanistan,Asia,2021-01,0.0,0.0,0.0,5.96,1755.06,2021-01-01
AFG,Afghanistan,Asia,2021-02,0.0,0.0,0.0,1.06,1668.95,2021-02-01
AFG,Afghanistan,Asia,2021-03,0.0,0.0,0.0,0.67,1875.88,2021-03-01
AFG,Afghanistan,Asia,2021-04,0.0,0.0,0.0,2.75,1868.07,2021-04-01
AFG,Afghanistan,Asia,2021-05,0.0,0.0,0.0,8.309999999999999,2082.02,2021-05-01
AFG,Afghanistan,Asia,2021-06,0.0,0.0,0.0,42.65,2680.01,2021-06-01
AFG,Afghanistan,Asia,2021-07,0.0,0.0,0.0,43.739999999999995,4396.7,2021-07-01
AFG,Afghanistan,Asia,2021-08,0.0,0.0,0.0,16.85,5310.14,2021-08-01
AFG,Afghanistan,Asia,2021-09,0.0,0.0,0.0,2.2199999999999998,5296.34,2021-09-01
AFG,Afghanistan,Asia,2021-10,0.0,0.0,0.0,1.7999999999999998,5523.5599999999995,2021-10-01
AFG,Afghanistan,Asia,2021-11,0.0,0.0,0.0,0.89,5389.37,2021-11-01
AFG,Afghanistan,Asia,2021-12,0.0,0.0,0.0,1.0899999999999999,5597.31,2021-12-01
AFG,Afghanistan,Asia,2022-01,0.0,0.0,0.0,1.3599999999999999,5633.98,2022-01-01
AFG,Afghanistan,Asia,2022-02,0.0,0.0,0.0,4.45,5158.82,2022-02-01
AFG,Afghanistan,Asia,2022-03,0.0,0.0,0.0,1.78,5831.84,2022-03-01
AFG,Afghanistan,Asia,2022-04,0.0,0.0,0.0,0.51,5673.95,2022-04-01
AFG,Afghanistan,Asia,2022-05,0.0,0.0,0.0,0.49,5874.57,2022-05-01
AFG,Afghanistan,Asia,2022-06,0.0,0.0,0.0,0.4,5700.179999999999,2022-06-01
AFG,Afghanistan,Asia,2022-07,0.0,0.0,0.0,0.73,5904.83,2022-07-01
AFG,Afghanistan,Asia,2022-08,0.0,0.0,0.0,0.6599999999999999,5925.79,2022-08-01
AFG,Afghanistan,Asia,2022-09,0.0,0.0,0.0,0.54,5757.36,2022-09-01
AFG,Afghanistan,Asia,2022-10,0.0,0.0,0.0,0.6000000000000001,5965.22,2022-10-01
AFG,Afghanistan,Asia,2022-11,0.0,0.0,0.0,0.29000000000000004,5787.21,2022-11-01
AFG,Afghanistan,Asia,2022-12,0.0,0.0,0.0,0.27999999999999997,5989.18,2022-12-01
AFG,Afghanistan,Asia,2023-01,0.0,0.0,0.0,0.52,6000.78,2023-01-01
AFG,Afghanistan,Asia,2023-02,0.0,0.0,0.0,0.29000000000000004,5433.74,2023-02-01
AFG,Afghanistan,Asia,2023-03,0.0,0.0,0.0,0.08,6019.92,2023-03-01
AFG,Afghanistan,Asia,2023-04,0.0,0.0,0.0,0.22999999999999998,5829.27,2023-04-01
AFG,Afghanistan,Asia,2023-05,0.0,0.0,0.0,0.56,6038.57,2023-05-01
AFG,Afghanistan,Asia,2023-06,0.0,0.0,0.0,0.32,5856.22,2023-06-01
AFG,Afghanistan,Asia,2023-07,0.0,0.0,0.0,0.16,6059.12,2023-07-01
AFG,Afghanistan,Asia,2023-08,0.0,0.0,0.0,0.17,6065.37,2023-08-01
AFG,Afghanistan,Asia,2023-09,0.0,0.0,0.0,0.12000000000000001,5874.19,2023-09-01
AFG,Afghanistan,Asia,2023-10,0.0,0.0,0.0,0.13,6074.43,2023-10-01
AFG,Afghanistan,Asia,2023-11,0.0,0.0,0.0,0.24000000000000002,5884.03,2023-11-01
AFG,Afghanistan,Asia,2023-12,0.0,0.0,0.0,0.24,6085.71,2023-12-01
AFG,Afghanistan,Asia,2024-01,0.0,0.0,0.0,0.19,6092.59,2024-01-01
AFG,Afghanistan,Asia,2024-02,0.0,0.0,0.0,0.04,5704.46,2024-02-01
AFG,Afghanistan,Asia,2024-03,0.0,0.0,0.0,0.31,6104.2,2024-03-01
AFG,Afghanistan,Asia,2024-04,0.0,0.0,0.0,0.02,5911.56,2024-04-01
AFG,Afghanistan,Asia,2024-05,0.0,0.0,0.0,0.02,6109.98,2024-05-01
AFG,Afghanistan,Asia,2024-06,0.0,0.0,0.0,0.0,5913.0,2024-06-01
AFG,Afghanistan,Asia,2024-07,0.0,0.0,0.0,0.0,6110.099999999999,2024-07-01
AFG,Afghanistan,Asia,2024-08,0.0,0.0,0.0,0.0,788.4,2024-08-01
AGO,Angola,Africa,2020-01,0.0,0.0,0.0,0.0,0.0,2020-01-01
AGO,Angola,Africa,2020-02,0.0,0.0,0.0,0.0,0.0,2020-02-01
AGO,Angola,Africa,2020-03,0.0,0.0,0.0,0.0,0.0,2020-03-01
AGO,Angola,Africa,2020-04,0.0,0.0,0.0,0.0,0.0,2020-04-01
AGO,Angola,Africa,2020-05,0.0,0.0,0.0,0.11,0.67,2020-05-01
AGO,Angola,Africa,2020-06,0.0,0.0,0.0,0.18,5.0,2020-06-01
AGO,Angola,Africa,2020-07,0.0,0.0,0.0,0.81,21.94,2020-07-01
AGO,Angola,Africa,2020-08,0.0,0.0,0.0,1.9,66.8,2020-08-01
AGO,Angola,Africa,2020-09,0.0,0.0,0.0,1.74,111.66,2020-09-01
AGO,Angola,Africa,2020-10,0.0,0.0,0.0,2.83,195.59,2020-10-01
AGO,Angola,Africa,2020-11,0.0,0.0,0.0,2.1,264.5,2020-11-01
AGO,Angola,Africa,2020-12,0.0,0.0,0.0,1.54,321.71,2020-12-01
AGO,Angola,Africa,2021-01,0.0,0.0,0.0,1.8,371.53,2021-01-01
AGO,Angola,Africa,2021-02,0.0,0.0,0.0,1.18,379.95,2021-02-01
AGO,Angola,Africa,2021-03,0.0,0.0,0.0,0.76,451.08,2021-03-01
AGO,Angola,Africa,2021-04,0.0,0.0,0.0,1.24,466.26,2021-04-01
AGO,Angola,Africa,2021-05,0.0,0.0,0.0,5.04,569.46,2021-05-01
AGO,Angola,Africa,2021-06,0.0,0.0,0.0,3.65,691.91,2021-06-01
AGO,Angola,Africa,2021-07,0.0,0.0,0.0,2.66,816.25,2021-07-01
AGO,Angola,Africa,2021-08,0.0,0.0,0.0,5.9,941.33,2021-08-01
AGO,Angola,Africa,2021-09,0.0,0.0,0.0,8.28,1122.88,2021-09-01
AGO,Angola,Africa,2021-10,0.0,0.0,0.0,6.21,1417.85,2021-10-01
AGO,Angola,Africa,2021-11,0.0,0.0,0.0,0.69,1450.22,2021-11-01
AGO,Angola,Africa,2021-12,0.0,0.0,0.0,0.37,1511.92,2021-12-01
AGO,Angola,Africa,2022-01,0.0,0.0,0.0,4.15,1593.94,2022-01-01
AGO,Angola,Africa,2022-02,0.0,0.0,0.0,0.15,1490.65,2022-02-01
AGO,Angola,Africa,2022-03,0.0,0.0,0.0,0.03,1652.77,2022-03-01
AGO,Angola,Africa,2022-04,0.0,0.0,0.0,0.0,1599.6,2022-04-01
AGO,Angola,Africa,2022-05,0.0,0.0,0.0,0.0,1652.92,2022-05-01
AGO,Angola,Africa,2022-06,0.0,0.0,0.0,0.0,1599.6,2022-06-01
AGO,Angola,Africa,2022-07,0.0,0.0,0.0,0.44,1659.8799999999999,2022-07-01
AGO,Angola,Africa,2022-08,0.0,0.0,0.0,0.03,1667.62,2022-08-01
AGO,Angola,Africa,2022-09,0.0,0.0,0.0,0.0,1614.0,2022-09-01
AGO,Angola,Africa,2022-10,0.0,0.0,0.0,0.0,1667.8,2022-10-01
AGO,Angola,Africa,2022-11,0.0,0.0,0.0,0.2,1616.79,2022-11-01
AGO,Angola,Africa,2022-12,0.0,0.0,0.0,0.14,1676.42,2022-12-01
AGO,Angola,Africa,2023-01,0.0,0.0,0.0,0.06,1679.6799999999998,2023-01-01
AGO,Angola,Africa,2023-02,0.0,0.0,0.0,0.06,1517.8899999999999,2023-02-01
AGO,Angola,Africa,2023-03,0.0,0.0,0.0,0.0,1681.44,2023-03-01
AGO,Angola,Africa,2023-04,0.0,0.0,0.0,0.03,1628.0700000000002,2023-04-01
AGO,Angola,Africa,2023-05,0.0,0.0,0.0,0.06,1683.87,2023-05-01
AGO,Angola,Africa,2023-06,0.0,0.0,0.0,0.0,1629.8999999999999,2023-06-01
AGO,Angola,Africa,2023-07,0.0,0.0,0.0,0.0,1684.23,2023-07-01
AGO,Angola,Africa,2023-08,0.0,0.0,0.0,0.0,1684.23,2023-08-01
AGO,Angola,Africa,2023-09,0.0,0.0,0.0,0.0,1629.8999999999999,2023-09-01
AGO,Angola,Africa,2023-10,0.0,0.0,0.0,0.0,1684.23,2023-10-01
AGO,Angola,Africa,2023-11,0.0,0.0,0.0,0.0,1629.8999999999999,2023-11-01
AGO,Angola,Africa,2023-12,0.0,0.0,0.0,0.03,1685.1,2023-12-01
AGO,Angola,Africa,2024-01,0.0,0.0,0.0,0.0,1685.16,2024-01-01
AGO,Angola,Africa,2024-02,0.0,0.0,0.0,0.0,1576.44,2024-02-01
AGO,Angola,Africa,2024-03,0.0,0.0,0.0,0.0,1685.16,2024-03-01
AGO,Angola,Africa,2024-04,0.0,0.0,0.0,0.0,1630.8,2024-04-01
AGO,Angola,Africa,2024-05,0.0,0.0,0.0,0.0,1685.16,2024-05-01
AGO,Angola,Africa,2024-06,0.0,0.0,0.0,0.0,1630.8,2024-06-01
AGO,Angola,Africa,2024-07,0.0,0.0,0.0,0.0,1685.16,2024-07-01
AGO,Angola,Africa,2024-08,0.0,0.0,0.0,0.0,217.44,2024-08-01
AIA,Anguilla,North America,2020-01,0.0,0.0,0.0,0.0,0.0,2020-01-01
AIA,Anguilla,North America,2020-02,0.0,0.0,0.0,0.0,0.0,2020-02-01
AIA,Anguilla,North America,2020-03,0.0,0.0,0.0,0.0,0.0,2020-03-01
AIA,Anguilla,North America,2020-04,0.0,0.0,0.0,0.0,0.0,2020-04-01
AIA,Anguilla,North America,2020-05,0.0,0.0,0.0,0.0,0.0,2020-05-01
AIA,Anguilla,North America,2020-06,0.0,0.0,0.0,0.0,0.0,2020-06-01
AIA,Anguilla,North America,2020-07,0.0,0.0,0.0,0.0,0.0,2020-07-01
AIA,Anguilla,North America,2020-08,0.0,0.0,0.0,0.0,0.0,2020-08-01
AIA,Anguilla,North America,2020-09,0.0,0.0,0.0,0.0,0.0,2020-09-01
AIA,Anguilla,North America,2020-10,0.0,0.0,0.0,0.0,0.0,2020-10-01
AIA,Anguilla,North America,2020-11,0.0,0.0,0.0,0.0,0.0,2020-11-01
AIA,Anguilla,North America,2020-12,0.0,0.0,0.0,0.0,0.0,2020-12-01
AIA,Anguilla,North America,2021-01,0.0,0.0,0.0,0.0,0.0,2021-01-01
AIA,Anguilla,North America,2021-02,0.0,0.0,0.0,0.0,0.0,2021-02-01
AIA,Anguilla,North America,2021-03,0.0,0.0,0.0,0.0,0.0,2021-03-01
AIA,Anguilla,North America,2021-04,0.0,0.0,0.0,0.0,0.0,2021-04-01
