"Regionskode";"Region";"Aldersgruppe";"Bekræftede tilfælde i alt";"Døde";"timestamp_2025-10-21T10:00:08.562"
;;;53;0;
;;0-9;692;3;
1084;Hovedstaden;0-9;120345;5;
1082;Midtjylland;0-9;79952;2;
1081;Nordjylland;0-9;34452;1;
1085;Sjælland;0-9;45240;0;
1083;Syddanmark;0-9;73571;1;
;;10-19;1087;0;
1084;Hovedstaden;10-19;165692;1;
1082;Midtjylland;10-19;126128;0;
1081;Nordjylland;10-19;54521;4;
1085;Sjælland;10-19;76159;0;
1083;Syddanmark;10-19;111756;0;
;;20-29;3906;4;
1084;Hovedstaden;20-29;198321;10;
1082;Midtjylland;20-29;121352;1;
1081;Nordjylland;20-29;52018;2;
1085;Sjælland;20-29;53335;2;
1083;Syddanmark;20-29;91081;11;
;;30-39;4317;3;
1084;Hovedstaden;30-39;185807;13;
1082;Midtjylland;30-39;110452;6;
1081;Nordjylland;30-39;46478;3;
1085;Sjælland;30-39;62287;5;
1083;Syddanmark;30-39;93765;6;
;;40-49;3666;7;
1084;Hovedstaden;40-49;171916;32;
1082;Midtjylland;40-49;109930;16;
1081;Nordjylland;40-49;46974;7;
1085;Sjælland;40-49;71122;21;
1083;Syddanmark;40-49;97864;19;
;;50-59;2602;8;
1084;Hovedstaden;50-59;140875;112;
1082;Midtjylland;50-59;98436;43;
1081;Nordjylland;50-59;45513;28;
1085;Sjælland;50-59;69652;68;
1083;Syddanmark;50-59;94130;59;
;;60-69;1105;10;
1084;Hovedstaden;60-69;83627;349;
1082;Midtjylland;60-69;68294;125;
1081;Nordjylland;60-69;33829;112;
1085;Sjælland;60-69;45634;176;
1083;Syddanmark;60-69;65393;181;
;;70-79;447;7;
1084;Hovedstaden;70-79;54636;1041;
1082;Midtjylland;70-79;43509;394;
1081;Nordjylland;70-79;23204;309;
1085;Sjælland;70-79;31323;498;
1083;Syddanmark;70-79;43808;504;
;;80-89;154;11;
1084;Hovedstaden;80-89;23185;1528;
1082;Midtjylland;80-89;15001;620;
1081;Nordjylland;80-89;8951;414;
1085;Sjælland;80-89;11479;651;
1083;Syddanmark;80-89;17055;805;
;;90+;49;4;
1084;Hovedstaden;90+;6110;880;
1082;Midtjylland;90+;3241;347;
1081;Nordjylland;90+;1892;246;
1085;Sjælland;90+;2355;341;
1083;Syddanmark;90+;3630;429;
