"Regionskode";"Region";"Aldersgruppe";"Bekræftede tilfælde i alt";"Døde";"Indlagte";"Dato";"timestamp_2025-10-21T10:00:08.562"
;;;53;0;0;2025-10-21;
;;0-9;692;3;8;2025-10-21;
1084;Hovedstaden;0-9;120345;5;1173;2025-10-21;
1082;Midtjylland;0-9;79952;2;543;2025-10-21;
1081;Nordjylland;0-9;34452;1;365;2025-10-21;
1085;Sjælland;0-9;45240;0;431;2025-10-21;
1083;Syddanmark;0-9;73571;1;449;2025-10-21;
;;10-19;1087;0;5;2025-10-21;
1084;Hovedstaden;10-19;165692;1;475;2025-10-21;
1082;Midtjylland;10-19;126128;0;224;2025-10-21;
1081;Nordjylland;10-19;54521;4;133;2025-10-21;
1085;Sjælland;10-19;76159;0;199;2025-10-21;
1083;Syddanmark;10-19;111756;0;237;2025-10-21;
;;20-29;3906;4;25;2025-10-21;
1084;Hovedstaden;20-29;198321;10;1348;2025-10-21;
1082;Midtjylland;20-29;121352;1;703;2025-10-21;
1081;Nordjylland;20-29;52018;2;335;2025-10-21;
1085;Sjælland;20-29;53335;2;529;2025-10-21;
1083;Syddanmark;20-29;91081;11;683;2025-10-21;
;;30-39;4317;3;45;2025-10-21;
1084;Hovedstaden;30-39;185807;13;1806;2025-10-21;
1082;Midtjylland;30-39;110452;6;867;2025-10-21;
1081;Nordjylland;30-39;46478;3;394;2025-10-21;
1085;Sjælland;30-39;62287;5;693;2025-10-21;
1083;Syddanmark;30-39;93765;6;776;2025-10-21;
;;40-49;3666;7;49;2025-10-21;
1084;Hovedstaden;40-49;171916;32;1729;2025-10-21;
1082;Midtjylland;40-49;109930;16;879;2025-10-21;
1081;Nordjylland;40-49;46974;7;389;2025-10-21;
1085;Sjælland;40-49;71122;21;798;2025-10-21;
1083;Syddanmark;40-49;97864;19;842;2025-10-21;
;;50-59;2602;8;63;2025-10-21;
1084;Hovedstaden;50-59;140875;112;2677;2025-10-21;
1082;Midtjylland;50-59;98436;43;1356;2025-10-21;
1081;Nordjylland;50-59;45513;28;679;2025-10-21;
1085;Sjælland;50-59;69652;68;1304;2025-10-21;
1083;Syddanmark;50-59;94130;59;1481;2025-10-21;
;;60-69;1105;10;45;2025-10-21;
1084;Hovedstaden;60-69;83627;349;3682;2025-10-21;
1082;Midtjylland;60-69;68294;125;1885;2025-10-21;
1081;Nordjylland;60-69;33829;112;1190;2025-10-21;
1085;Sjælland;60-69;45634;176;1935;2025-10-21;
1083;Syddanmark;60-69;65393;181;2202;2025-10-21;
;;70-79;447;7;22;2025-10-21;
1084;Hovedstaden;70-79;54636;1041;6728;2025-10-21;
1082;Midtjylland;70-79;43509;394;3182;2025-10-21;
1081;Nordjylland;70-79;23204;309;2060;2025-10-21;
1085;Sjælland;70-79;31323;498;3557;2025-10-21;
1083;Syddanmark;70-79;43808;504;3875;2025-10-21;
;;80-89;154;11;14;2025-10-21;
1084;Hovedstaden;80-89;23185;1528;6604;2025-10-21;
1082;Midtjylland;80-89;15001;620;2813;2025-10-21;
1081;Nordjylland;80-89;8951;414;1962;2025-10-21;
1085;Sjælland;80-89;11479;651;3202;2025-10-21;
1083;Syddanmark;80-89;17055;805;3840;2025-10-21;
;;90+;49;4;1;2025-10-21;
1084;Hovedstaden;90+;6110;880;1990;2025-10-21;
1082;Midtjylland;90+;3241;347;738;2025-10-21;
1081;Nordjylland;90+;1892;246;459;2025-10-21;
1085;Sjælland;90+;2355;341;864;2025-10-21;
1083;Syddanmark;90+;3630;429;1025;2025-10-21;
