"Regionskode";"Region";"Aldersgruppe";"Bekræftede tilfælde i alt";"Døde";"Indlagte";"Dato";"timestamp_2025-10-21T10:00:08.562"
1084;Hovedstaden;0-9;9;0;1;2025-10-21;
1082;Midtjylland;0-9;2;0;0;2025-10-21;
1085;Sjælland;0-9;1;0;0;2025-10-21;
1083;Syddanmark;0-9;1;0;0;2025-10-21;
1084;Hovedstaden;10-19;2;0;0;2025-10-21;
1085;Sjælland;10-19;1;0;0;2025-10-21;
1083;Syddanmark;10-19;1;0;0;2025-10-21;
1084;Hovedstaden;20-29;4;0;0;2025-10-21;
1081;Nordjylland;20-29;1;0;0;2025-10-21;
1085;Sjælland;20-29;1;0;0;2025-10-21;
;;30-39;1;0;0;2025-10-21;
1084;Hovedstaden;30-39;9;0;1;2025-10-21;
1085;Sjælland;30-39;1;0;0;2025-10-21;
1083;Syddanmark;30-39;2;0;1;2025-10-21;
1084;Hovedstaden;40-49;5;1;2;2025-10-21;
1082;Midtjylland;40-49;1;0;1;2025-10-21;
1085;Sjælland;40-49;3;0;0;2025-10-21;
1084;Hovedstaden;50-59;15;0;2;2025-10-21;
1082;Midtjylland;50-59;2;0;2;2025-10-21;
1081;Nordjylland;50-59;3;0;1;2025-10-21;
1085;Sjælland;50-59;2;0;1;2025-10-21;
1083;Syddanmark;50-59;2;0;0;2025-10-21;
1084;Hovedstaden;60-69;21;0;7;2025-10-21;
1082;Midtjylland;60-69;1;0;1;2025-10-21;
1081;Nordjylland;60-69;3;1;3;2025-10-21;
1085;Sjælland;60-69;1;0;1;2025-10-21;
1083;Syddanmark;60-69;3;0;1;2025-10-21;
;;70-79;1;0;0;2025-10-21;
1084;Hovedstaden;70-79;31;0;15;2025-10-21;
1082;Midtjylland;70-79;10;0;9;2025-10-21;
1081;Nordjylland;70-79;9;0;7;2025-10-21;
1085;Sjælland;70-79;3;0;3;2025-10-21;
1083;Syddanmark;70-79;14;0;12;2025-10-21;
1084;Hovedstaden;80-89;16;0;13;2025-10-21;
1082;Midtjylland;80-89;4;0;4;2025-10-21;
1081;Nordjylland;80-89;6;1;6;2025-10-21;
1085;Sjælland;80-89;5;0;4;2025-10-21;
1083;Syddanmark;80-89;14;0;13;2025-10-21;
1084;Hovedstaden;90+;8;0;4;2025-10-21;
1083;Syddanmark;90+;3;0;2;2025-10-21;
