"Uge";"Køn";"Testede pr. 100.000 borgere";"Positive pr. 100.000 borgere";"Nye indlæggelser pr. 100.000 borgere";"timestamp_2025-10-21T10:00:08.562"
2020-U05;M;0;0;0,0;
2020-U07;K;0;0;0,0;
2020-U08;K;0;0;0,0;
2020-U08;M;0;0;0,0;
2020-U09;K;6;0;0,0;
2020-U09;M;6;0;0,0;
2020-U10;K;12;1;0,1;
2020-U10;M;14;2;0,2;
2020-U11;K;81;9;1,8;
2020-U11;M;87;19;2,8;
2020-U12;K;146;9;4,5;
2020-U12;M;101;10;6,7;
2020-U13;K;197;20;7,2;
2020-U13;M;141;18;11,6;
2020-U14;K;616;46;6,2;
2020-U14;M;336;26;5,8;
2020-U15;K;564;34;4,1;
2020-U15;M;368;21;3,5;
2020-U16;K;574;25;3,2;
2020-U16;M;377;15;3,3;
2020-U17;K;1675;27;3,0;
2020-U17;M;974;17;3,0;
2020-U18;K;2190;20;2,0;
2020-U18;M;1220;13;1,7;
2020-U19;K;1821;13;1,0;
2020-U19;M;1105;9;1,5;
2020-U20;K;1725;8;1,0;
2020-U20;M;1204;6;0,8;
2020-U21;K;1611;7;1,0;
2020-U21;M;1202;6;0,7;
2020-U22;K;1633;6;0,6;
2020-U22;M;1375;4;0,7;
2020-U23;K;1384;5;0,4;
2020-U23;M;1173;3;0,6;
2020-U24;K;1808;5;0,2;
2020-U24;M;1461;4;0,3;
2020-U25;K;2111;6;0,5;
2020-U25;M;1746;5;0,5;
2020-U26;K;2112;3;0,4;
2020-U26;M;1766;3;0,5;
2020-U27;K;1925;2;0,2;
2020-U27;M;1583;2;0,4;
2020-U28;K;1831;3;0,3;
2020-U28;M;1499;3;0,2;
2020-U29;K;1891;5;0,3;
2020-U29;M;1616;4;0,2;
2020-U30;K;1964;5;0,2;
2020-U30;M;1716;3;0,4;
2020-U31;K;2394;6;0,2;
2020-U31;M;2121;11;0,4;
2020-U32;K;3102;13;0,4;
2020-U32;M;2693;17;0,8;
2020-U33;K;3914;14;0,3;
2020-U33;M;3473;16;0,4;
2020-U34;K;4386;10;0,5;
2020-U34;M;3900;11;0,5;
2020-U35;K;4447;9;0,2;
2020-U35;M;3874;11;0,5;
2020-U36;K;4684;22;0,5;
2020-U36;M;4076;22;0,6;
2020-U37;K;6208;38;1,0;
2020-U37;M;5154;38;1,3;
