"Regionskode";"Region";"Aldersgruppe";"Indlæggelser";"timestamp_2025-10-21T10:00:08.562"
;;.;0;
;;00-02;7;
1084;Hovedstaden;00-02;977;
1082;Midtjylland;00-02;419;
1081;Nordjylland;00-02;294;
1085;Sjælland;00-02;362;
1083;Syddanmark;00-02;350;
;;03-05;1;
1084;Hovedstaden;03-05;97;
1082;Midtjylland;03-05;67;
1081;Nordjylland;03-05;42;
1085;Sjælland;03-05;44;
1083;Syddanmark;03-05;56;
;;06-11;1;
1084;Hovedstaden;06-11;154;
1082;Midtjylland;06-11;85;
1081;Nordjylland;06-11;44;
1085;Sjælland;06-11;48;
1083;Syddanmark;06-11;71;
;;12-15;0;
1084;Hovedstaden;12-15;158;
1082;Midtjylland;12-15;83;
1081;Nordjylland;12-15;49;
1085;Sjælland;12-15;67;
1083;Syddanmark;12-15;88;
;;16-19;4;
1084;Hovedstaden;16-19;262;
1082;Midtjylland;16-19;113;
1081;Nordjylland;16-19;69;
1085;Sjælland;16-19;109;
1083;Syddanmark;16-19;121;
;;20-39;70;
1084;Hovedstaden;20-39;3154;
1082;Midtjylland;20-39;1570;
1081;Nordjylland;20-39;729;
1085;Sjælland;20-39;1222;
1083;Syddanmark;20-39;1459;
;;40-64;135;
1084;Hovedstaden;40-64;6108;
1082;Midtjylland;40-64;3084;
1081;Nordjylland;40-64;1612;
1085;Sjælland;40-64;2967;
1083;Syddanmark;40-64;3269;
;;65-79;44;
1084;Hovedstaden;65-79;8708;
1082;Midtjylland;65-79;4218;
1081;Nordjylland;65-79;2706;
1085;Sjælland;65-79;4627;
1083;Syddanmark;65-79;5131;
;;80+;15;
1084;Hovedstaden;80+;8594;
1082;Midtjylland;80+;3551;
1081;Nordjylland;80+;2421;
1085;Sjælland;80+;4066;
1083;Syddanmark;80+;4865;
