"Regionskode";"Region";"Aldersgruppe";"Bekræftede tilfælde i alt";"timestamp_2025-10-21T10:00:08.562"
;;.;53;
;;00-02;204;
1084;Hovedstaden;00-02;21582;
1082;Midtjylland;00-02;12267;
1081;Nordjylland;00-02;5533;
1085;Sjælland;00-02;7394;
1083;Syddanmark;00-02;12704;
;;03-05;182;
1084;Hovedstaden;03-05;37161;
1082;Midtjylland;03-05;25167;
1081;Nordjylland;03-05;10657;
1085;Sjælland;03-05;13756;
1083;Syddanmark;03-05;22972;
;;06-11;500;
1084;Hovedstaden;06-11;96679;
1082;Midtjylland;06-11;67226;
1081;Nordjylland;06-11;28639;
1085;Sjælland;06-11;38514;
1083;Syddanmark;06-11;59583;
;;12-15;319;
1084;Hovedstaden;12-15;66665;
1082;Midtjylland;12-15;50813;
1081;Nordjylland;12-15;21892;
1085;Sjælland;12-15;30715;
1083;Syddanmark;12-15;45745;
;;16-19;574;
1084;Hovedstaden;16-19;63950;
1082;Midtjylland;16-19;50607;
1081;Nordjylland;16-19;22252;
1085;Sjælland;16-19;31020;
1083;Syddanmark;16-19;44323;
;;20-39;8223;
1084;Hovedstaden;20-39;384128;
1082;Midtjylland;20-39;231804;
1081;Nordjylland;20-39;98496;
1085;Sjælland;20-39;115622;
1083;Syddanmark;20-39;184846;
;;40-64;6958;
1084;Hovedstaden;40-64;361557;
1082;Midtjylland;40-64;246621;
1081;Nordjylland;40-64;111693;
1085;Sjælland;40-64;166530;
1083;Syddanmark;40-64;228448;
;;65-79;862;
1084;Hovedstaden;65-79;89497;
1082;Midtjylland;65-79;73548;
1081;Nordjylland;65-79;37827;
1085;Sjælland;65-79;51201;
1083;Syddanmark;65-79;72747;
;;80+;203;
1084;Hovedstaden;80+;29295;
1082;Midtjylland;80+;18242;
1081;Nordjylland;80+;10843;
1085;Sjælland;80+;13834;
1083;Syddanmark;80+;20685;
