"Regionskode";"Region";"Aldersgruppe";"Bekræftede tilfælde i alt";"Indlagte";"Dato";"timestamp_2025-10-21T10:00:08.562"
;;.;53;0;2025-10-21;
;;00-02;204;7;2025-10-21;
1084;Hovedstaden;00-02;21582;977;2025-10-21;
1082;Midtjylland;00-02;12267;419;2025-10-21;
1081;Nordjylland;00-02;5533;294;2025-10-21;
1085;Sjælland;00-02;7394;362;2025-10-21;
1083;Syddanmark;00-02;12704;350;2025-10-21;
;;03-05;182;1;2025-10-21;
1084;Hovedstaden;03-05;37161;97;2025-10-21;
1082;Midtjylland;03-05;25167;67;2025-10-21;
1081;Nordjylland;03-05;10657;42;2025-10-21;
1085;Sjælland;03-05;13756;44;2025-10-21;
1083;Syddanmark;03-05;22972;56;2025-10-21;
;;06-11;500;1;2025-10-21;
1084;Hovedstaden;06-11;96679;154;2025-10-21;
1082;Midtjylland;06-11;67226;85;2025-10-21;
1081;Nordjylland;06-11;28639;44;2025-10-21;
1085;Sjælland;06-11;38514;48;2025-10-21;
1083;Syddanmark;06-11;59583;71;2025-10-21;
;;12-15;319;0;2025-10-21;
1084;Hovedstaden;12-15;66665;158;2025-10-21;
1082;Midtjylland;12-15;50813;83;2025-10-21;
1081;Nordjylland;12-15;21892;49;2025-10-21;
1085;Sjælland;12-15;30715;67;2025-10-21;
1083;Syddanmark;12-15;45745;88;2025-10-21;
;;16-19;574;4;2025-10-21;
1084;Hovedstaden;16-19;63950;262;2025-10-21;
1082;Midtjylland;16-19;50607;113;2025-10-21;
1081;Nordjylland;16-19;22252;69;2025-10-21;
1085;Sjælland;16-19;31020;109;2025-10-21;
1083;Syddanmark;16-19;44323;121;2025-10-21;
;;20-39;8223;70;2025-10-21;
1084;Hovedstaden;20-39;384128;3154;2025-10-21;
1082;Midtjylland;20-39;231804;1570;2025-10-21;
1081;Nordjylland;20-39;98496;729;2025-10-21;
1085;Sjælland;20-39;115622;1222;2025-10-21;
1083;Syddanmark;20-39;184846;1459;2025-10-21;
;;40-64;6958;135;2025-10-21;
1084;Hovedstaden;40-64;361557;6108;2025-10-21;
1082;Midtjylland;40-64;246621;3084;2025-10-21;
1081;Nordjylland;40-64;111693;1612;2025-10-21;
1085;Sjælland;40-64;166530;2967;2025-10-21;
1083;Syddanmark;40-64;228448;3269;2025-10-21;
;;65-79;862;44;2025-10-21;
1084;Hovedstaden;65-79;89497;8708;2025-10-21;
1082;Midtjylland;65-79;73548;4218;2025-10-21;
1081;Nordjylland;65-79;37827;2706;2025-10-21;
1085;Sjælland;65-79;51201;4627;2025-10-21;
1083;Syddanmark;65-79;72747;5131;2025-10-21;
;;80+;203;15;2025-10-21;
1084;Hovedstaden;80+;29295;8594;2025-10-21;
1082;Midtjylland;80+;18242;3551;2025-10-21;
1081;Nordjylland;80+;10843;2421;2025-10-21;
1085;Sjælland;80+;13834;4066;2025-10-21;
1083;Syddanmark;80+;20685;4865;2025-10-21;
