"Regionskode";"Region";"Aldersgruppe";"Bekræftede tilfælde i alt";"Indlagte";"Dato";"timestamp_2025-10-21T10:00:08.562"
1084;Hovedstaden;00-02;9;1;2025-10-21;
1082;Midtjylland;00-02;2;0;2025-10-21;
1085;Sjælland;00-02;1;0;2025-10-21;
1083;Syddanmark;00-02;1;0;2025-10-21;
1084;Hovedstaden;06-11;1;0;2025-10-21;
1084;Hovedstaden;16-19;1;0;2025-10-21;
1085;Sjælland;16-19;1;0;2025-10-21;
1083;Syddanmark;16-19;1;0;2025-10-21;
;;20-39;1;0;2025-10-21;
1084;Hovedstaden;20-39;13;1;2025-10-21;
1081;Nordjylland;20-39;1;0;2025-10-21;
1085;Sjælland;20-39;2;0;2025-10-21;
1083;Syddanmark;20-39;2;1;2025-10-21;
1084;Hovedstaden;40-64;31;7;2025-10-21;
1082;Midtjylland;40-64;4;4;2025-10-21;
1081;Nordjylland;40-64;4;2;2025-10-21;
1085;Sjælland;40-64;6;2;2025-10-21;
1083;Syddanmark;40-64;3;0;2025-10-21;
;;65-79;1;0;2025-10-21;
1084;Hovedstaden;65-79;41;19;2025-10-21;
1082;Midtjylland;65-79;10;9;2025-10-21;
1081;Nordjylland;65-79;11;9;2025-10-21;
1085;Sjælland;65-79;3;3;2025-10-21;
1083;Syddanmark;65-79;16;13;2025-10-21;
1084;Hovedstaden;80+;24;17;2025-10-21;
1082;Midtjylland;80+;4;4;2025-10-21;
1081;Nordjylland;80+;6;6;2025-10-21;
1085;Sjælland;80+;5;4;2025-10-21;
1083;Syddanmark;80+;17;15;2025-10-21;
