"Uge";"Regionskode";"Region";"Antal reinfektioner";"Reinfektioner pr. 100.000 borgere";"Første reinfektion";"To eller flere reinfektioner";"timestamp_2025-10-21T10:00:08.562"
2020-U21;1084;Hovedstaden;2;0,11;2;0;
2020-U21;1082;Midtjylland;1;0,07;1;0;
2020-U21;1083;Syddanmark;1;0,08;1;0;
2020-U23;1084;Hovedstaden;1;0,05;1;0;
2020-U23;1083;Syddanmark;1;0,08;1;0;
2020-U24;1084;Hovedstaden;4;0,22;4;0;
2020-U24;1082;Midtjylland;2;0,15;2;0;
2020-U24;1083;Syddanmark;1;0,08;1;0;
2020-U25;1084;Hovedstaden;5;0,27;5;0;
2020-U25;1082;Midtjylland;1;0,08;1;0;
2020-U25;1085;Sjælland;1;0,12;1;0;
2020-U25;1083;Syddanmark;1;0,08;1;0;
2020-U26;1084;Hovedstaden;3;0,16;3;0;
2020-U26;1085;Sjælland;1;0,12;1;0;
2020-U27;1084;Hovedstaden;4;0,22;4;0;
2020-U27;1082;Midtjylland;1;0,08;1;0;
2020-U27;1085;Sjælland;2;0,24;2;0;
2020-U28;1084;Hovedstaden;2;0,11;2;0;
2020-U28;1085;Sjælland;2;0,24;2;0;
2020-U29;1084;Hovedstaden;4;0,22;4;0;
2020-U29;1081;Nordjylland;1;0,17;1;0;
2020-U29;1085;Sjælland;1;0,12;1;0;
2020-U30;1084;Hovedstaden;3;0,16;3;0;
2020-U30;1085;Sjælland;1;0,12;1;0;
2020-U31;1084;Hovedstaden;2;0,11;2;0;
2020-U32;1084;Hovedstaden;1;0,05;1;0;
2020-U32;1082;Midtjylland;1;0,08;1;0;
2020-U33;1084;Hovedstaden;6;0,32;6;0;
2020-U33;1082;Midtjylland;1;0,08;1;0;
2020-U33;1083;Syddanmark;1;0,08;1;0;
2020-U34;1084;Hovedstaden;2;0,11;2;0;
2020-U35;1084;Hovedstaden;4;0,22;3;1;
2020-U35;1085;Sjælland;1;0,12;1;0;
2020-U36;1084;Hovedstaden;2;0,11;2;0;
2020-U36;1082;Midtjylland;1;0,08;1;0;
