"Uge";"Regionskode";"Region";"Antal tilfælde";"Antal borgere";"Type af tilfælde";"type_count";"timestamp_2025-10-21T10:00:08.562"
2020-U09;1084;Hovedstaden;0;1857623;Første reinfektion;2;
2020-U09;1084;Hovedstaden;0;1857623;To eller flere reinfektioner;3;
2020-U09;1084;Hovedstaden;2;1857623;Første infektion;1;
2020-U09;1082;Midtjylland;0;1336749;Første reinfektion;2;
2020-U09;1082;Midtjylland;0;1336749;To eller flere reinfektioner;3;
2020-U09;1082;Midtjylland;1;1336749;Første infektion;1;
2020-U09;1085;Sjælland;0;843578;Første reinfektion;2;
2020-U09;1085;Sjælland;0;843578;To eller flere reinfektioner;3;
2020-U09;1085;Sjælland;1;843578;Første infektion;1;
2020-U10;1084;Hovedstaden;0;1859789;Første reinfektion;2;
2020-U10;1084;Hovedstaden;0;1859789;To eller flere reinfektioner;3;
2020-U10;1084;Hovedstaden;38;1859789;Første infektion;1;
2020-U10;1082;Midtjylland;0;1338101;Første reinfektion;2;
2020-U10;1082;Midtjylland;0;1338101;To eller flere reinfektioner;3;
2020-U10;1082;Midtjylland;23;1338101;Første infektion;1;
2020-U10;1081;Nordjylland;0;595334;Første reinfektion;2;
2020-U10;1081;Nordjylland;0;595334;To eller flere reinfektioner;3;
2020-U10;1081;Nordjylland;2;595334;Første infektion;1;
2020-U10;1085;Sjælland;0;843505;Første reinfektion;2;
2020-U10;1085;Sjælland;0;843505;To eller flere reinfektioner;3;
2020-U10;1085;Sjælland;7;843505;Første infektion;1;
2020-U10;1083;Syddanmark;0;1233532;Første reinfektion;2;
2020-U10;1083;Syddanmark;0;1233532;To eller flere reinfektioner;3;
2020-U10;1083;Syddanmark;9;1233532;Første infektion;1;
2020-U11;1084;Hovedstaden;0;1859789;Første reinfektion;2;
2020-U11;1084;Hovedstaden;0;1859789;To eller flere reinfektioner;3;
2020-U11;1084;Hovedstaden;348;1859789;Første infektion;1;
2020-U11;1082;Midtjylland;0;1338101;Første reinfektion;2;
2020-U11;1082;Midtjylland;0;1338101;To eller flere reinfektioner;3;
2020-U11;1082;Midtjylland;165;1338101;Første infektion;1;
2020-U11;1081;Nordjylland;0;595334;Første reinfektion;2;
2020-U11;1081;Nordjylland;0;595334;To eller flere reinfektioner;3;
2020-U11;1081;Nordjylland;52;595334;Første infektion;1;
2020-U11;1085;Sjælland;0;843505;Første reinfektion;2;
2020-U11;1085;Sjælland;0;843505;To eller flere reinfektioner;3;
2020-U11;1085;Sjælland;115;843505;Første infektion;1;
2020-U11;1083;Syddanmark;0;1233532;Første reinfektion;2;
2020-U11;1083;Syddanmark;0;1233532;To eller flere reinfektioner;3;
2020-U11;1083;Syddanmark;135;1233532;Første infektion;1;
2020-U12;1084;Hovedstaden;0;1859789;Første reinfektion;2;
2020-U12;1084;Hovedstaden;0;1859789;To eller flere reinfektioner;3;
2020-U12;1084;Hovedstaden;319;1859789;Første infektion;1;
2020-U12;1082;Midtjylland;0;1338101;Første reinfektion;2;
2020-U12;1082;Midtjylland;0;1338101;To eller flere reinfektioner;3;
2020-U12;1082;Midtjylland;66;1338101;Første infektion;1;
2020-U12;1081;Nordjylland;0;595334;Første reinfektion;2;
2020-U12;1081;Nordjylland;0;595334;To eller flere reinfektioner;3;
2020-U12;1081;Nordjylland;24;595334;Første infektion;1;
2020-U12;1085;Sjælland;0;843505;Første reinfektion;2;
2020-U12;1085;Sjælland;0;843505;To eller flere reinfektioner;3;
2020-U12;1085;Sjælland;83;843505;Første infektion;1;
2020-U12;1083;Syddanmark;0;1233532;Første reinfektion;2;
2020-U12;1083;Syddanmark;0;1233532;To eller flere reinfektioner;3;
2020-U12;1083;Syddanmark;57;1233532;Første infektion;1;
2020-U13;1084;Hovedstaden;0;1859789;Første reinfektion;2;
2020-U13;1084;Hovedstaden;0;1859789;To eller flere reinfektioner;3;
2020-U13;1084;Hovedstaden;627;1859789;Første infektion;1;
2020-U13;1082;Midtjylland;0;1338101;Første reinfektion;2;
2020-U13;1082;Midtjylland;0;1338101;To eller flere reinfektioner;3;
2020-U13;1082;Midtjylland;139;1338101;Første infektion;1;
2020-U13;1081;Nordjylland;0;595334;Første reinfektion;2;
2020-U13;1081;Nordjylland;0;595334;To eller flere reinfektioner;3;
2020-U13;1081;Nordjylland;66;595334;Første infektion;1;
2020-U13;1085;Sjælland;0;843505;Første reinfektion;2;
2020-U13;1085;Sjælland;0;843505;To eller flere reinfektioner;3;
2020-U13;1085;Sjælland;147;843505;Første infektion;1;
2020-U13;1083;Syddanmark;0;1233532;Første reinfektion;2;
2020-U13;1083;Syddanmark;0;1233532;To eller flere reinfektioner;3;
2020-U13;1083;Syddanmark;142;1233532;Første infektion;1;
2020-U14;1084;Hovedstaden;0;1859789;Første reinfektion;2;
2020-U14;1084;Hovedstaden;0;1859789;To eller flere reinfektioner;3;
2020-U14;1084;Hovedstaden;1175;1859789;Første infektion;1;
2020-U14;1082;Midtjylland;0;1338101;Første reinfektion;2;
2020-U14;1082;Midtjylland;0;1338101;To eller flere reinfektioner;3;
2020-U14;1082;Midtjylland;311;1338101;Første infektion;1;
2020-U14;1081;Nordjylland;0;595334;Første reinfektion;2;
2020-U14;1081;Nordjylland;0;595334;To eller flere reinfektioner;3;
2020-U14;1081;Nordjylland;111;595334;Første infektion;1;
2020-U14;1085;Sjælland;0;843505;Første reinfektion;2;
2020-U14;1085;Sjælland;0;843505;To eller flere reinfektioner;3;
2020-U14;1085;Sjælland;287;843505;Første infektion;1;
2020-U14;1083;Syddanmark;0;1233532;Første reinfektion;2;
2020-U14;1083;Syddanmark;0;1233532;To eller flere reinfektioner;3;
2020-U14;1083;Syddanmark;238;1233532;Første infektion;1;
2020-U15;1084;Hovedstaden;0;1860038;Første reinfektion;2;
2020-U15;1084;Hovedstaden;0;1860038;To eller flere reinfektioner;3;
2020-U15;1084;Hovedstaden;893;1860038;Første infektion;1;
2020-U15;1082;Midtjylland;0;1338319;Første reinfektion;2;
2020-U15;1082;Midtjylland;0;1338319;To eller flere reinfektioner;3;
2020-U15;1082;Midtjylland;280;1338319;Første infektion;1;
2020-U15;1081;Nordjylland;0;594976;Første reinfektion;2;
2020-U15;1081;Nordjylland;0;594976;To eller flere reinfektioner;3;
2020-U15;1081;Nordjylland;62;594976;Første infektion;1;
2020-U15;1085;Sjælland;0;843819;Første reinfektion;2;
2020-U15;1085;Sjælland;0;843819;To eller flere reinfektioner;3;
2020-U15;1085;Sjælland;240;843819;Første infektion;1;
2020-U15;1083;Syddanmark;0;1234119;Første reinfektion;2;
2020-U15;1083;Syddanmark;0;1234119;To eller flere reinfektioner;3;
2020-U15;1083;Syddanmark;145;1234119;Første infektion;1;
2020-U16;1084;Hovedstaden;0;1860038;Første reinfektion;2;
2020-U16;1084;Hovedstaden;0;1860038;To eller flere reinfektioner;3;
2020-U16;1084;Hovedstaden;641;1860038;Første infektion;1;
2020-U16;1082;Midtjylland;0;1338319;Første reinfektion;2;
2020-U16;1082;Midtjylland;0;1338319;To eller flere reinfektioner;3;
