"Dato";"Regionskode";"Region";"Kategori";"Antal borgere";"timestamp_2025-10-21T10:00:08.562"
2020-06-01;1084;Hovedstaden;Indlæggelse pga. covid-19;1;
2020-06-01;1082;Midtjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1;
2020-06-01;1083;Syddanmark;Indlæggelse, hvor covid-19 kan have spillet en rolle;1;
2020-06-04;1084;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1;
2020-06-04;1085;Sjælland;Indlæggelse pga. covid-19;1;
2020-06-04;1083;Syddanmark;Indlæggelse pga. andre forhold end covid-19;1;
2020-06-04;1083;Syddanmark;Indlæggelse pga. covid-19;1;
2020-06-05;;;Indlæggelse pga. andre forhold end covid-19;1;
2020-06-05;1084;Hovedstaden;Indlæggelse pga. covid-19;2;
2020-06-05;1084;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1;
2020-06-05;1085;Sjælland;Indlæggelse pga. covid-19;1;
2020-06-06;1084;Hovedstaden;Indlæggelse pga. covid-19;1;
2020-06-06;1084;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1;
2020-06-07;1084;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;1;
2020-06-07;1083;Syddanmark;Indlæggelse pga. covid-19;1;
2020-06-08;1084;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;1;
2020-06-08;1084;Hovedstaden;Indlæggelse pga. covid-19;1;
2020-06-09;1085;Sjælland;Indlæggelse pga. covid-19;1;
2020-06-10;1081;Nordjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1;
2020-06-11;1081;Nordjylland;Indlæggelse pga. covid-19;1;
2020-06-12;1084;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;1;
2020-06-12;1084;Hovedstaden;Indlæggelse pga. covid-19;1;
2020-06-12;1084;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1;
2020-06-12;1085;Sjælland;Indlæggelse pga. covid-19;1;
2020-06-13;1084;Hovedstaden;Indlæggelse pga. covid-19;3;
2020-06-13;1084;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1;
2020-06-14;1084;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;1;
2020-06-15;1084;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1;
2020-06-15;1082;Midtjylland;Indlæggelse pga. andre forhold end covid-19;1;
2020-06-15;1085;Sjælland;Indlæggelse pga. covid-19;1;
2020-06-16;;;Indlæggelse pga. covid-19;1;
2020-06-16;1084;Hovedstaden;Indlæggelse pga. covid-19;2;
2020-06-16;1081;Nordjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1;
2020-06-16;1085;Sjælland;Indlæggelse pga. andre forhold end covid-19;1;
2020-06-16;1085;Sjælland;Indlæggelse pga. covid-19;3;
2020-06-17;1084;Hovedstaden;Indlæggelse pga. covid-19;2;
2020-06-17;1081;Nordjylland;Indlæggelse pga. covid-19;1;
2020-06-17;1083;Syddanmark;Indlæggelse pga. covid-19;1;
2020-06-18;1084;Hovedstaden;Indlæggelse pga. covid-19;1;
2020-06-18;1084;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1;
2020-06-18;1082;Midtjylland;Indlæggelse pga. andre forhold end covid-19;1;
2020-06-18;1081;Nordjylland;Indlæggelse pga. covid-19;1;
2020-06-19;1084;Hovedstaden;Indlæggelse pga. covid-19;1;
2020-06-19;1084;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1;
2020-06-19;1085;Sjælland;Indlæggelse pga. covid-19;2;
2020-06-20;1084;Hovedstaden;Indlæggelse pga. covid-19;1;
