"År";"Uge";"Bekræftede tilfælde beboere";"Dødsfald blandt bekræftede beboere";"Plejehjem med bekræftede tilfælde";"Antal tests blandt beboere";"Plejehjem med testede beboere";"timestamp_2025-10-21T10:00:08.562"
2020;11;7;0;6;118;107;
2020;12;23;3;15;251;188;
2020;13;68;15;31;433;249;
2020;14;144;35;43;1130;355;
2020;15;85;37;34;704;340;
2020;16;77;29;34;911;339;
2020;17;81;26;35;2283;457;
2020;18;38;25;23;2472;488;
2020;19;20;20;15;3095;486;
2020;20;11;9;9;2508;475;
2020;21;7;3;4;1606;480;
2020;22;10;4;3;1529;432;
2020;23;3;4;2;1254;453;
2020;24;16;1;3;1052;438;
2020;25;7;1;5;1870;489;
2020;26;2;2;2;1900;504;
2020;27;5;1;4;1708;509;
2020;28;2;2;2;1523;481;
2020;29;5;0;2;1189;502;
2020;30;3;1;3;1245;486;
2020;31;0;0;0;1580;504;
2020;32;1;2;1;1619;540;
2020;33;0;1;0;1468;550;
2020;34;1;0;1;1333;543;
2020;35;0;0;0;1295;494;
2020;36;3;0;3;1327;534;
2020;37;15;0;8;2151;564;
2020;38;19;5;8;2937;570;
2020;39;22;3;10;3128;561;
2020;40;12;5;6;2974;569;
2020;41;13;3;11;2591;542;
2020;42;13;7;7;2650;521;
2020;43;29;7;12;3519;555;
2020;44;30;2;18;4583;569;
2020;45;32;8;19;5395;573;
2020;46;51;8;19;5645;565;
2020;47;86;10;31;6894;596;
2020;48;98;11;25;6360;588;
2020;49;119;21;37;7325;640;
2020;50;218;22;59;7720;606;
2020;51;319;49;105;10140;661;
2020;52;407;62;116;10123;623;
2020;53;474;88;130;11220;619;
2021;1;471;81;127;11913;644;
2021;2;361;109;102;11866;624;
2021;3;162;81;74;10191;659;
2021;4;85;57;54;8310;608;
2021;5;47;39;22;7150;596;
2021;6;16;23;10;5547;574;
2021;7;6;7;6;4133;562;
2021;8;12;2;7;3447;534;
2021;9;9;0;7;3100;563;
2021;10;4;2;4;3143;570;
2021;11;7;0;7;3018;567;
2021;12;7;2;7;2661;564;
2021;13;4;0;4;1718;490;
2021;14;14;1;8;1763;508;
2021;15;21;3;10;2837;555;
2021;16;19;3;11;2852;526;
2021;17;9;3;7;2562;527;
2021;18;9;0;6;2736;544;
2021;19;6;1;6;2119;458;
2021;20;2;1;2;2205;433;
2021;21;2;0;2;1505;380;
2021;22;15;0;3;1610;344;
2021;23;7;0;5;1428;322;
2021;24;3;1;2;1026;269;
2021;25;0;0;0;786;245;
2021;26;1;0;1;1124;233;
2021;27;6;0;3;1349;245;
2021;28;7;1;6;1967;278;
2021;29;8;0;6;2213;250;
2021;30;11;3;7;2421;265;
2021;31;9;3;5;2577;268;
2021;32;16;2;8;3102;281;
2021;33;19;0;12;2773;285;
2021;34;33;3;16;3262;299;
2021;35;40;1;17;3965;309;
2021;36;46;12;18;4383;360;
2021;37;25;6;13;2887;297;
2021;38;15;6;8;2881;297;
2021;39;3;7;3;2741;298;
2021;40;16;1;8;2585;282;
2021;41;4;4;4;3206;323;
2021;42;16;1;8;4247;404;
2021;43;16;3;12;5486;465;
2021;44;29;4;22;7100;495;
2021;45;26;4;21;7292;528;
2021;46;53;3;29;7881;561;
2021;47;31;9;23;8552;599;
2021;48;58;7;32;9019;599;
2021;49;91;6;48;10198;644;
2021;50;145;8;65;12286;689;
2021;51;199;11;94;14785;701;
2021;52;646;13;220;21395;751;
2022;1;682;40;214;25014;783;
2022;2;657;39;208;23638;783;
2022;3;873;47;262;26656;802;
2022;4;1261;54;343;27992;796;
2022;5;1744;63;445;29654;848;
2022;6;2151;99;530;30464;869;
2022;7;2425;111;565;27289;854;
2022;8;2123;146;527;22562;828;
2022;9;1813;127;487;18984;815;
2022;10;1385;121;398;16053;752;
2022;11;1044;98;316;13157;688;
2022;12;698;73;261;10377;649;
2022;13;490;54;174;8241;552;
2022;14;394;42;138;6864;517;
2022;15;331;35;127;5469;471;
2022;16;287;21;102;5005;486;
2022;17;182;22;74;3985;414;
2022;18;99;22;53;2767;377;
2022;19;55;7;33;2018;340;
2022;20;52;9;30;1601;332;
2022;21;49;6;25;1379;299;
2022;22;37;4;19;1071;271;
2022;23;50;7;21;928;261;
2022;24;55;5;32;1719;319;
2022;25;104;7;47;2259;323;
2022;26;104;6;55;4108;349;
2022;27;114;12;63;3977;373;
2022;28;263;5;107;5888;403;
2022;29;232;10;87;6192;402;
2022;30;142;14;76;6172;363;
2022;31;187;19;73;5152;375;
2022;32;131;18;68;4248;354;
2022;33;123;11;74;5098;401;
2022;34;83;18;45;4039;363;
2022;35;53;11;34;3171;316;
2022;36;102;8;50;3424;352;
2022;37;119;11;52;4028;348;
2022;38;186;14;64;3500;338;
2022;39;225;10;83;5006;389;
2022;40;181;18;75;5339;394;
2022;41;135;7;72;5537;392;
2022;42;130;21;65;5116;408;
2022;43;120;8;58;4273;434;
2022;44;81;9;37;3856;379;
2022;45;72;9;29;3625;355;
2022;46;54;8;37;2998;352;
2022;47;155;8;48;3702;365;
2022;48;216;7;84;5486;407;
2022;49;270;11;100;6601;401;
2022;50;448;17;133;7293;414;
2022;51;686;31;195;9504;470;
2022;52;472;31;181;8982;485;
2023;1;345;36;136;8597;484;
2023;2;195;22;81;5190;415;
2023;3;83;19;43;2935;298;
2023;4;79;19;35;2112;263;
2023;5;82;6;28;1871;240;
2023;6;63;5;41;1571;252;
2023;7;46;6;18;599;200;
2023;8;14;6;12;318;185;
2023;9;16;11;16;244;175;
2023;10;39;5;20;302;188;
2023;11;30;4;26;254;201;
2023;12;52;2;38;277;200;
2023;13;35;8;32;251;192;
2023;14;44;5;37;249;188;
2023;15;50;12;43;241;187;
2023;16;46;9;43;239;176;
2023;17;48;6;45;198;160;
2023;18;22;10;20;173;145;
2023;19;38;8;34;211;167;
2023;20;23;8;21;161;133;
2023;21;12;6;12;164;132;
2023;22;8;6;8;151;132;
2023;23;12;4;10;160;135;
2023;24;7;1;7;130;108;
2023;25;6;2;6;135;109;
2023;26;1;1;1;118;103;
2023;27;2;0;2;96;86;
2023;28;2;0;2;88;75;
2023;29;1;0;1;75;64;
2023;30;3;1;3;87;81;
2023;31;3;1;2;96;85;
2023;32;5;1;5;70;64;
2023;33;12;1;12;120;105;
2023;34;8;1;8;108;97;
2023;35;17;1;15;129;104;
2023;36;12;3;12;136;120;
2023;37;15;4;14;129;110;
2023;38;8;3;8;138;117;
2023;39;7;1;7;123;115;
2023;40;16;2;15;136;120;
2023;41;16;3;13;143;127;
2023;42;29;1;26;173;144;
2023;43;50;8;44;185;147;
2023;44;61;8;45;225;170;
2023;45;46;11;36;221;161;
2023;46;34;13;31;199;162;
2023;47;55;16;51;240;179;
2023;48;53;14;49;208;175;
2023;49;59;10;53;258;197;
2023;50;95;17;83;317;226;
2023;51;55;23;50;312;231;
2023;52;41;13;37;295;227;
2024;1;33;13;32;244;198;
2024;2;14;10;13;229;179;
2024;3;21;6;19;263;191;
2024;4;10;8;10;244;194;
2024;5;5;6;5;229;179;
2024;6;3;1;3;176;150;
2024;7;7;3;6;206;161;
2024;8;5;2;5;156;130;
2024;9;5;2;4;182;153;
2024;10;8;3;8;156;129;
2024;11;3;2;3;143;126;
2024;12;1;0;1;122;108;
2024;13;2;1;2;143;122;
2024;14;4;1;2;145;123;
2024;15;4;0;3;120;106;
2024;16;2;1;2;86;79;
2024;17;0;0;0;94;82;
2024;18;0;0;0;99;79;
2024;19;3;0;3;75;70;
2024;20;4;0;4;83;74;
2024;21;1;0;1;88;77;
2024;22;1;1;1;65;58;
2024;23;2;0;2;62;56;
2024;24;2;0;2;52;51;
2024;25;5;2;4;69;59;
2024;26;8;2;7;76;64;
2024;27;5;0;4;70;63;
2024;28;19;1;17;96;84;
2024;29;19;2;16;120;94;
2024;30;10;4;10;121;99;
2024;31;13;1;13;115;85;
2024;32;11;7;11;94;85;
2024;33;8;3;7;105;93;
2024;34;11;3;11;112;97;
2024;35;16;4;15;97;79;
2024;36;24;1;20;124;97;
2024;37;15;2;15;105;91;
2024;38;19;5;19;116;92;
2024;39;14;3;12;80;71;
2024;40;16;4;15;111;93;
2024;41;31;3;29;142;115;
2024;42;18;5;18;118;104;
2024;43;21;5;18;120;101;
2024;44;15;4;13;114;99;
2024;45;9;3;8;121;99;
2024;46;6;3;5;111;97;
2024;47;5;3;5;119;103;
2024;48;8;2;8;108;93;
2024;49;9;2;9;133;109;
2024;50;4;4;4;102;91;
2024;51;12;0;11;145;121;
2024;52;9;0;9;165;134;
2025;1;10;1;10;181;144;
2025;2;9;4;9;177;145;
2025;3;5;1;5;126;107;
2025;4;3;3;3;154;114;
2025;5;11;2;11;177;144;
2025;6;6;3;6;203;150;
2025;7;8;2;7;188;144;
2025;8;6;4;5;274;185;
2025;9;5;1;5;292;213;
2025;10;12;2;9;288;201;
2025;11;6;2;6;184;148;
2025;12;9;0;8;186;143;
2025;13;7;1;6;193;148;
2025;14;2;2;2;161;130;
2025;15;2;0;2;126;111;
2025;16;5;1;5;151;128;
2025;17;4;0;4;104;91;
2025;18;3;3;3;109;95;
2025;19;2;0;2;106;86;
2025;20;0;1;0;94;79;
2025;21;2;0;2;99;81;
2025;22;0;0;0;89;72;
2025;23;3;0;3;97;89;
2025;24;2;1;2;87;76;
2025;25;1;0;1;70;62;
2025;26;1;0;1;59;46;
2025;27;4;2;4;72;63;
2025;28;0;0;0;72;61;
2025;29;2;1;2;69;63;
2025;30;0;0;0;66;53;
2025;31;0;0;0;76;60;
2025;32;3;0;3;66;60;
2025;33;1;1;1;65;56;
2025;34;2;0;2;65;58;
2025;35;14;0;10;83;71;
2025;36;13;1;12;104;89;
2025;37;5;3;5;88;81;
2025;38;7;1;7;112;103;
2025;39;6;2;6;94;77;
2025;40;8;1;8;89;79;
2025;41;10;1;10;110;90;
2025;42;17;2;16;115;101;
I alt;;32385;3247;957;878572;980;
