"Regionskode";"Region";"Dato";"Indlæggelser";"timestamp_2025-10-21T10:00:08.562"
1084;Hovedstaden;2020-03-01;1;
1084;Hovedstaden;2020-03-03;1;
1084;Hovedstaden;2020-03-05;1;
1084;Hovedstaden;2020-03-06;3;
1085;Sjælland;2020-03-06;1;
1084;Hovedstaden;2020-03-08;3;
1084;Hovedstaden;2020-03-09;3;
1085;Sjælland;2020-03-09;5;
1084;Hovedstaden;2020-03-10;6;
1082;Midtjylland;2020-03-10;3;
1085;Sjælland;2020-03-10;5;
1083;Syddanmark;2020-03-10;1;
1084;Hovedstaden;2020-03-11;4;
1085;Sjælland;2020-03-11;4;
1083;Syddanmark;2020-03-11;2;
1084;Hovedstaden;2020-03-12;3;
1082;Midtjylland;2020-03-12;7;
1081;Nordjylland;2020-03-12;1;
1085;Sjælland;2020-03-12;6;
1083;Syddanmark;2020-03-12;1;
1084;Hovedstaden;2020-03-13;13;
1082;Midtjylland;2020-03-13;7;
1081;Nordjylland;2020-03-13;1;
1085;Sjælland;2020-03-13;2;
1083;Syddanmark;2020-03-13;3;
1084;Hovedstaden;2020-03-14;9;
1082;Midtjylland;2020-03-14;3;
1081;Nordjylland;2020-03-14;3;
1085;Sjælland;2020-03-14;6;
1083;Syddanmark;2020-03-14;3;
1084;Hovedstaden;2020-03-15;18;
1082;Midtjylland;2020-03-15;4;
1081;Nordjylland;2020-03-15;3;
1085;Sjælland;2020-03-15;5;
1083;Syddanmark;2020-03-15;3;
1084;Hovedstaden;2020-03-16;23;
1082;Midtjylland;2020-03-16;3;
1081;Nordjylland;2020-03-16;2;
1085;Sjælland;2020-03-16;12;
1083;Syddanmark;2020-03-16;5;
1084;Hovedstaden;2020-03-17;25;
1082;Midtjylland;2020-03-17;6;
1081;Nordjylland;2020-03-17;3;
1085;Sjælland;2020-03-17;8;
1083;Syddanmark;2020-03-17;5;
1084;Hovedstaden;2020-03-18;21;
1082;Midtjylland;2020-03-18;4;
1081;Nordjylland;2020-03-18;4;
1085;Sjælland;2020-03-18;13;
1083;Syddanmark;2020-03-18;5;
1084;Hovedstaden;2020-03-19;29;
1082;Midtjylland;2020-03-19;3;
1081;Nordjylland;2020-03-19;5;
1085;Sjælland;2020-03-19;6;
1083;Syddanmark;2020-03-19;6;
1084;Hovedstaden;2020-03-20;33;
1082;Midtjylland;2020-03-20;5;
1081;Nordjylland;2020-03-20;2;
1085;Sjælland;2020-03-20;13;
1083;Syddanmark;2020-03-20;10;
1084;Hovedstaden;2020-03-21;13;
1082;Midtjylland;2020-03-21;4;
1081;Nordjylland;2020-03-21;2;
1085;Sjælland;2020-03-21;11;
1083;Syddanmark;2020-03-21;4;
1084;Hovedstaden;2020-03-22;22;
