"Regionskode";"Region";"Dato";"Bekræftede tilfælde i alt";"timestamp_2025-10-21T10:00:08.562"
1085;Sjælland;2020-02-26;1;
1084;Hovedstaden;2020-02-27;1;
1082;Midtjylland;2020-02-28;1;
1084;Hovedstaden;2020-03-01;1;
1084;Hovedstaden;2020-03-02;2;
1085;Sjælland;2020-03-02;1;
1083;Syddanmark;2020-03-02;1;
1084;Hovedstaden;2020-03-03;4;
1084;Hovedstaden;2020-03-04;2;
1085;Sjælland;2020-03-04;1;
1084;Hovedstaden;2020-03-05;10;
1081;Nordjylland;2020-03-06;1;
1085;Sjælland;2020-03-06;1;
1084;Hovedstaden;2020-03-07;8;
1082;Midtjylland;2020-03-07;1;
1084;Hovedstaden;2020-03-08;12;
1082;Midtjylland;2020-03-08;22;
1081;Nordjylland;2020-03-08;1;
1085;Sjælland;2020-03-08;4;
1083;Syddanmark;2020-03-08;8;
1084;Hovedstaden;2020-03-09;68;
1082;Midtjylland;2020-03-09;43;
1081;Nordjylland;2020-03-09;8;
1085;Sjælland;2020-03-09;35;
1083;Syddanmark;2020-03-09;49;
1084;Hovedstaden;2020-03-10;114;
1082;Midtjylland;2020-03-10;72;
1081;Nordjylland;2020-03-10;13;
1085;Sjælland;2020-03-10;27;
1083;Syddanmark;2020-03-10;27;
1084;Hovedstaden;2020-03-11;86;
1082;Midtjylland;2020-03-11;25;
1081;Nordjylland;2020-03-11;23;
1085;Sjælland;2020-03-11;27;
1083;Syddanmark;2020-03-11;42;
1084;Hovedstaden;2020-03-12;18;
1082;Midtjylland;2020-03-12;8;
1081;Nordjylland;2020-03-12;1;
1085;Sjælland;2020-03-12;6;
1083;Syddanmark;2020-03-12;8;
1084;Hovedstaden;2020-03-13;21;
1082;Midtjylland;2020-03-13;7;
1081;Nordjylland;2020-03-13;1;
1085;Sjælland;2020-03-13;3;
1083;Syddanmark;2020-03-13;1;
1084;Hovedstaden;2020-03-14;16;
1082;Midtjylland;2020-03-14;6;
1081;Nordjylland;2020-03-14;3;
1085;Sjælland;2020-03-14;7;
1083;Syddanmark;2020-03-14;5;
1084;Hovedstaden;2020-03-15;25;
1082;Midtjylland;2020-03-15;4;
1081;Nordjylland;2020-03-15;3;
1085;Sjælland;2020-03-15;10;
1083;Syddanmark;2020-03-15;3;
1084;Hovedstaden;2020-03-16;50;
1082;Midtjylland;2020-03-16;2;
1081;Nordjylland;2020-03-16;1;
1085;Sjælland;2020-03-16;15;
1083;Syddanmark;2020-03-16;6;
1084;Hovedstaden;2020-03-17;49;
1082;Midtjylland;2020-03-17;7;
1081;Nordjylland;2020-03-17;4;
1085;Sjælland;2020-03-17;10;
1083;Syddanmark;2020-03-17;6;
1084;Hovedstaden;2020-03-18;48;
1082;Midtjylland;2020-03-18;11;
1081;Nordjylland;2020-03-18;6;
